date,forecast_revenue,lower_bound,upper_bound
2026-01-01,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-02,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-03,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-04,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-05,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-06,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-07,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-08,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-09,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-10,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-11,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-12,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-13,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-14,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-15,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-16,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-17,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-18,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-19,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-20,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-21,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-22,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-23,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-24,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-25,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-26,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-27,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-28,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-29,25524.532333333333,15832.1609340992,35216.903732567465
2026-01-30,25524.532333333333,15832.1609340992,35216.903732567465
